timestamp,ticker,action,quantity,exchange,price,commission
2014-06-30 00:00:00,AAPL,SLD,42800670706919448590613447752286306609869270579677916508061584106665435593022043383834962595746138756026431172576373173817404397602091805156477637754880,ARCA,92.93,2.1400335353459722e+149
2014-06-30 00:00:00,AMZN,SLD,927864483841020089686480185164640609431153026812908318792629244324008578187166466214440364512665392085259764749616595975334928433501926192817299783680,ARCA,324.78,4.639322419205101e+147
2014-07-31 00:00:00,AAPL,BOT,38055898649434976119619650831457284647395530964727531046374218936799078059418500729049127025932349963906955781009776921134996421728841103295570264457216,ARCA,95.6,1.9027949324717489e+149
2014-07-31 00:00:00,AMZN,SLD,27321633820804434823014842338889918872995706089153481768163673446231907054178817392276945176602297827595480960706554133894191737078971257974973660135424,ARCA,312.99,1.3660816910402218e+149
2014-09-30 00:00:00,AAPL,SLD,37041060563658696906352641864375124456888801691322780594449264605676196162696560133313494717420833188233908945700932043116090858742965013755288122032128,ARCA,100.75,1.8520530281829346e+149
2014-09-30 00:00:00,AMZN,BOT,27393092381497473678950356488473647615489360229175235398774050426259701722160738471263893756675794862219425841018721729531301852831915858400468906541056,ARCA,322.44,1.3696546190748736e+149
2014-10-31 00:00:00,AAPL,SLD,60104977813432588978729260884583624444226959845776591877070613775367525317984655378311845712225700665542726236637218393967915016074853820997996078170112,ARCA,108.0,3.0052488906716294e+149
2014-10-31 00:00:00,AMZN,SLD,4504926088910741530154725599509809459890183885358101659523893298249847024004153148950066537997165769210122589990345115008469854429305636844502316482560,ARCA,305.46,2.2524630444553708e+148
2014-12-31 00:00:00,AAPL,BOT,87415911028713996068944841778189664191735420121631303734100291772289664917554262653906842261683459712854367561899268232057401842370999977339937970192384,ARCA,110.38,4.3707955514357e+149
2014-12-31 00:00:00,AMZN,SLD,56915862960437370576631850355566691541518086746790914652792224747194868836884907676788084437938774768609665164338646795910491824866460363830628582424576,ARCA,310.35,2.8457931480218687e+149
2015-03-31 00:00:00,AAPL,SLD,38118224188201462467388227478104318762734182889033178170566840281296422642913796413435683728285969878830651541435257332748273829571548460590529102479360,ARCA,124.43,1.9059112094100732e+149
2015-03-31 00:00:00,AMZN,BOT,61390119743497102051775352249243114300241951284719047364204686623196564785336334625602452934554244353537045297212844287658394849416432912276261944950784,ARCA,372.1,3.069505987174855e+149
2015-04-30 00:00:00,AAPL,SLD,175567095258326500995769267660122702526046842264544724645270998639798936581273850441202904169944857798457031023616715139674992155535540304944914312986624,ARCA,125.15,8.778354762916325e+149
2015-04-30 00:00:00,AMZN,SLD,668159379802214794488492835761360907709538341260608968903915420674429468148104713394469100903868902564037517454240445147051646772658525999616013369344,ARCA,421.78,3.340796899011074e+147
2015-06-30 00:00:00,AAPL,BOT,219839138330826424311901979634858261210756141993812649179355075012949848244196352011396092033699468072350323775537464126020344010406638900579861104951296,ARCA,125.425,1.099195691654132e+150
2015-06-30 00:00:00,AMZN,SLD,84797423774830826404736141583076578787644754101242080811580644152034605365493595208718693590224097561897752004733550722564833547421309194122801935548416,ARCA,434.09,4.239871188741542e+149
2015-07-31 00:00:00,AAPL,SLD,87750498542520620675014040724002390515593952562131940479367288687475995746057186696614475517505513665603389921497763455734191666520143553886102879207424,ARCA,121.3,4.387524927126031e+149
2015-07-31 00:00:00,AMZN,BOT,86919100270476876095926115123265686431330424803710659799019221472350787960394723819707184423775702958866872485043808131257992262659715524889677133774848,ARCA,536.15,4.3459550135238435e+149
2015-08-31 00:00:00,AAPL,SLD,394853409139772867959280863316468728991375726264926538850898031312660988384264206770660471005653311180313690873824623869258901789463728425346666367811584,ARCA,112.76,1.9742670456988645e+150
2015-08-31 00:00:00,AMZN,SLD,1241449068855098364543682522332366145786502390664415579968335709773123512786271997420865176152729130020011525812680648465232175524795247052711905984512,ARCA,512.89,6.2072453442754924e+147
2015-09-30 00:00:00,AAPL,BOT,481885180250316792516174247357937828991999925267061535917764199399126857347734703178716462153490738784278455848056204433626812257091892510619202620489728,ARCA,109.95,2.409425901251584e+150
2015-09-30 00:00:00,AMZN,SLD,122697650675423347373558559140065737559649756050115816300619993119552614093941496536908125055546985398875451592909579078397376159648978307037256256323584,ARCA,511.67,6.134882533771168e+149
2015-11-30 00:00:00,AAPL,SLD,124566172615465846057782547014433385429060413626698073671358994024131125691100243484354269509118652634648761066209450184825911777714523081055338382753792,ARCA,118.3,6.228308630773292e+149
2015-11-30 00:00:00,AMZN,BOT,123660768546427012928164322144225586730713532651527042728993304527927656198588510596239173994425082401362377348879521067016720059098223302992828825600000,ARCA,664.8,6.183038427321351e+149
2015-12-31 00:00:00,AAPL,SLD,806886190673344188735525631805926895029528834095750936008301413329204826298782337154161514376257783825270467608897201774349167555400633779077718317465600,ARCA,105.26,4.034430953366721e+150
2015-12-31 00:00:00,AMZN,BOT,4371941113577930272255538546951746759260844027666700745132146977659086784452592807399862718943600563891695804911016597742671721844573162068951657611264,ARCA,675.89,2.1859705567889653e+148
2016-02-29 00:00:00,AAPL,BOT,947693019630307756197629699064107514068237261204705317284931334986457369904132226465323675773476947219113809941285195272377440305412756127218922329997312,ARCA,96.69,4.738465098151539e+150
2016-02-29 00:00:00,AMZN,SLD,178044151695932710210231953937032857709244119916773210678510311809470017397192477202953838214152248836014263905130277195279228435301360413560910146174976,ARCA,552.52,8.902207584796636e+149
